Unnamed: 0.1,Unnamed: 0,language,rating,category,combined_text,sentiment
3,3,kazakh,5.0,perfumes,"иісі қатты ұнады . 
",positive
24,24,kazakh,5.0,perfumes,"keremet !  48 sagatka dein ustaidy 
",positive
43,43,kazakh,5.0,perfumes,"иісі өте керемет ,  маған унада 
",positive
56,56,kazakh,5.0,perfumes,"салқын ,  әдемі ,  жағымды жұпар . бірақ иісі тез жойылып кетеді екен . 
",positive
92,92,kazakh,5.0,perfumes,"маған ұнады ! 
",positive
164,164,kazakh,5.0,perfumes,"иісі жағымды ,  жұмсақ ,  өте ұстамды . әрі сапал . 
",positive
212,212,kazakh,5.0,perfumes,"өте жақсы ,  маған ұнады . рахмет сіздерге ! 
",positive
222,222,kazakh,5.0,perfumes,"сәлеметсіздерме . әйеліме туылған күніне сыйладой ,  ұнатты . қызметті де тез жасап ,  үйге алып келіп берді ,  рахмет 
",positive
295,295,kazakh,5.0,perfumes,"иісі жақсы екен ,  ешқандай иісін білмей пікірлерге қарап алып едім ,  алдаған жоқ ,  жақсы иісі 
",positive
324,324,kazakh,5.0,perfumes,"керемет екен . иісы де мена ойлағандай болып шықты . тамаша . течь айтылған мерзымнить кейін келді . 
",positive
415,415,kazakh,5.0,perfumes,"иісі өте керемет ,  маған ұнады 
",positive
450,450,kazakh,5.0,perfumes,"бұл хош иісті нағыз ер адамдар ғана қолданады ! көпшілік ортасында сені өте салмақты әрі джентльмен ретінде танытада 
",positive
476,476,kazakh,5.0,perfumes,"супер ,  екінші рет алып жатырмын . 
",positive
530,530,kazakh,5.0,perfumes,"маған ұнайды . оса дух 2 рет заказ бердім ,  иісі керемет 
",positive
587,587,kazakh,5.0,perfumes,"тамаша ,  иісі ұзаққа дейін сақталады ,  керемет хош иіс . 
",positive
592,592,kazakh,5.0,perfumes,"заказ көңілімізден шықты ,  рахмет үлкен ! 
",positive
618,618,kazakh,1.0,perfumes,"иісі көп тұрмайды . 
",negative
636,636,kazakh,5.0,perfumes,"ұнады . иісі өте жақсы 
",positive
650,650,kazakh,5.0,perfumes,"өте сапал тауар классно . иісі ұнады ,  керемет ! көп тұрады ,  кетпейді ! рахмет сіздерге 
",positive
668,668,kazakh,5.0,perfumes,"иісі керемет ,  және ұзақ тұрады 
",positive
669,669,kazakh,1.0,perfumes,"жеткізу тез келді ,  мена ойлағандай . рахмет тауар өз бағасына сай келмейді . мена ойлаған иіс болмай шықты 
",negative
703,703,kazakh,2.0,perfumes,"жылда жеткізу .  1 күнде жеткізіп берді . күткенимдей болмада ,  иіссу ұзақ тұрмайды . 
",negative
705,705,kazakh,3.0,perfumes,"иісі басқа болып шықты ,  маған керек иіс бұл духи негізі өте жақсы егер өзім ұнатқан иісі болс ,  пробниктері болғанда керек иісті таңдап алар едім . 
",neutral
712,712,kazakh,5.0,perfumes,"әтірдің иісі өте жақсы . жақсы қапталған ,  өзім аштым . әкелген курьер балаға рақмет ,  жыл жүзді . mon amie дүкенге және каспи банкқа алғысым шексіз . келешект тағы тапсырыс беремін ! 
",positive
718,718,kazakh,5.0,perfumes,"бұл әтір иісі өте ұнады . мена ойламаған иіс ,  бұл мена үшін күтпеген ,  сый дести болад ,  рахмет . 
 бірінші рет тапсырыс беруім ,  сіздерге рахмет ,  уақытынан тез келді ,  жеткізген адамға рахмет ,  үйге дейін әкеліп берді ,  алда тағыда тапсырыс беретін боламын 
",positive
720,720,kazakh,5.0,perfumes,"kaspi . kz - ке рахмет ! курьерг де рахмет ,  уйг дейін жеткізіп берді . иісі керемет ,  ұнады ! 
",positive
727,727,kazakh,5.0,perfumes,"иісі керемет ! 
",positive
729,729,kazakh,1.0,perfumes,"иісі мүлдем шықпайды . ұнамады 
",negative
759,759,kazakh,1.0,perfumes,"онша емес ,  иісі тұрмайды 
",negative
776,776,kazakh,5.0,perfumes,"бомба 
",positive
793,793,kazakh,1.0,perfumes,"бағасына сай емес . ұнамады ,  иісі де көп тұрмайды . 
",negative
801,801,kazakh,1.0,perfumes,"ештеңе ұнамады 
",negative
878,878,kazakh,5.0,perfumes,"классикалық иіс су 
",positive
884,884,kazakh,5.0,perfumes,"бөліп төлеу біз үшін өте ыңғайлы . иісі де жақсы ,  алуға болад иісі көпке дейін сақталады спирті көп 
",positive
902,902,kazakh,5.0,perfumes,"парфюм керемет ,  бөлмені алып кетеді 
",positive
912,912,kazakh,5.0,perfumes,"маған да ,  күйеуіме де иісі ұнады . 
",positive
938,938,kazakh,4.0,perfumes,"иісі жақсы жеткізуды ұзақ күттім 
",positive
953,953,kazakh,5.0,perfumes,"сіздерге үлкен рахмет . тапсырысый жылда жеткізілді және де иісі ұнады . иісі ұзақ уақытқа дейін сақталады . еңбектеріңіздің жемісін көріңіздер . 
",positive
989,989,kazakh,1.0,perfumes,"иісі көп сақталмайды 
",negative
1049,1049,kazakh,5.0,perfumes,"kaspi . kz - ке керемет мүмкіндіктеріңіз үшін рахмет ! супер . керемет иісі ,  қатты ұнады . қорықпай алсаңыздар ,  болад . ұзақ тұрады . өзім осындағы пікірлермен таныс отырып алғанмын . бəрі жақсы . 
",positive
1053,1053,kazakh,1.0,perfumes,"ұнамады ,  иісі көп сақталып тұрмайды 
",negative
1114,1114,kazakh,5.0,perfumes,"тез - ақ жеткізіп берді . иісі керемет ,  гүлдер иісі аңқып тұрады . каспи магазинг алғысым шексіз . 
",positive
1154,1154,kazakh,1.0,perfumes,"исі тұрақсыз ,  қазыр жақсан ,  қазыр исі жоқ ұнамады 
",negative
1197,1197,kazakh,5.0,perfumes,"енді супер ғой ,  сүйген жарым алып едім ,  иісін алыстать тауып аласың . алыңыздар 
",positive
1266,1266,kazakh,5.0,perfumes,"келіншегіме ұнады . оригинал екен . қорықпай тапсырыс берсеңіздер болад . жеткізу уақытынан бұрын келді . 
",positive
1306,1306,kazakh,5.0,perfumes,"каспиг үлкен рахмет сондай мүмкіндіктерді бізге берген . иiсi керемет ,  маған қатты ұнады . 
",positive
1325,1325,kazakh,5.0,perfumes,"маған унада ,  иісі керекмет әрі ұзақ үстіде тұрады . шлейфт бар ! каспи магазиніне және парфюм магазиніне рахмет 
",positive
1383,1383,kazakh,4.0,perfumes,"жақсы ,  оригинал ,  иісі жағымды . туалетный вода болгасын иісі қатты стойкий емес 
",positive
1408,1408,kazakh,5.0,perfumes,"бағасы 
",positive
1447,1447,kazakh,4.0,perfumes,"уақытында жеткізіп берді ,  барша қызметке ризамын иісі онша емес ,  мена үшін ,  бір күннен кейін иісі кетіп қалады 
",positive
1505,1505,kazakh,5.0,perfumes,"иісі өте күшті ,  маған қатты ұнады ,  бағасы тиімді екен 
",positive
1529,1529,kazakh,5.0,perfumes,"иісі жақсы және ұзаққа жарайд . 
",positive
1530,1530,kazakh,5.0,perfumes,"тауар сапал ,  маған ұнады ,  рақмет ! шанель мадмуазель келс ,  тағы алар едім . жаңаөзен қаласына екі күнде жеткізді . рақмет ! иіссудің сапас жақсы ,  бәрі ұнады 
",positive
1605,1605,kazakh,5.0,perfumes,"қызметкерлері де өте жақсы ,  көңіл күйде жұмыс жасайд өте керемет иіс суы . өзіме алдым ,  иісі өте жақсы ,  ұзақ сақталады . рақмет 
",positive
1643,1643,kazakh,5.0,perfumes,"әдемі ,  иесі ұнады 
",positive
1645,1645,kazakh,5.0,perfumes,"өте жақсы ,  балам ұнады 
",positive
1660,1660,kazakh,5.0,perfumes,"керемет ,  алдында болған тағыда алдым . иесі жақсы екен . 
",positive
1671,1671,kazakh,1.0,perfumes,"иісі күшті емес ,  жылда кетіп қалады екен ,  маған ұнамады . 
",negative
1696,1696,kazakh,1.0,perfumes,"жеткізілуі жылда келді . иісі мүлдем шықпайды . бұл иіс суд таңдағаныма өкініп қалдым . немес менің қолма келгена иіс су оригинал емес . 
",negative
1752,1752,kazakh,5.0,perfumes,"өте керемет иісі ,  көңілімнен шықты . жеткізу жылда 
",positive
1895,1895,kazakh,5.0,perfumes,"өте сапал және тұрақты иіс ! 
",positive
1940,1940,kazakh,5.0,perfumes,"мена күткендей ! иісі керемет . рахмет саған ,  каспи 
",positive
1943,1943,kazakh,5.0,perfumes,"өте керемет ,  рахмет . қыздар ,  маған қатты ұнады ,  алуға кеңес беремін . 
",positive
1949,1949,kazakh,5.0,perfumes,"иiсi керемет ,  жұпар анқыған . каспиг рахмет сондай мүмкіндікті бізге берген . алғыс . 
",positive
1951,1951,kazakh,5.0,perfumes,"сөзбен жеткізу мүмкін емес ,  течь алып көру керек . өкінбейсіз ,  керемет жупар иісі . енді әрдайым осын алғым келеді және бәрілеріңізге оса хош иісті алуларыңызға кеңес беремін ! өте керемет ,  маған қатты ұнады ,  балғын күшті иісі . 
",positive
1952,1952,kazakh,5.0,perfumes,"алыңыздар ! качество супер ! 
",positive
2005,2005,kazakh,5.0,perfumes,"тапсырысый бір аптад келді . жақсы . ұнады . тапсырыс етуг кеңес беремін 
",positive
2036,2036,kazakh,1.0,perfumes,"ұнаған жоқ ,  одеколон сияқты иісі . 
",negative
2093,2093,kazakh,5.0,perfumes,"сапас өте жақсы . айтқан күніне бұрын жеткізді . рахмет 
",positive
2106,2106,kazakh,5.0,perfumes,"иісі өте тамаша . 
",positive
2107,2107,kazakh,5.0,perfumes,"иісі күшті ,  алуға кеңес беремін 
",positive
2119,2119,kazakh,1.0,perfumes,"иіс су өз басым ұнаған жоқ . иісі өткір болған соң ба жүрегімді айнытып жіберді . бір сепкен күйі тұр 
",negative
2134,2134,kazakh,2.0,perfumes,"иісі керемет ,  бірақ тез кетіп қалады . 
",negative
2138,2138,kazakh,5.0,perfumes,"өте жақсы ,  иісі ұнады . 
",positive
2153,2153,kazakh,5.0,perfumes,"күшті ,  керемет иіс . маған өте ұнады . рахмет ! 
",positive
2163,2163,kazakh,5.0,perfumes,"тамаша ! 
",positive
